iter	Logloss
0	0.6531037964
1	0.6151920709
2	0.5837879624
3	0.5576653033
4	0.5341248983
5	0.5137532412
6	0.4949548835
7	0.4780438683
8	0.4644962973
9	0.4513108558
10	0.4395023441
11	0.4271210327
12	0.4174732827
13	0.408055385
14	0.4019820133
15	0.3959678361
16	0.3899716021
17	0.3827054244
18	0.3777490968
19	0.3728899352
20	0.3694082537
21	0.3666341488
22	0.3628091583
23	0.3601189635
24	0.3557402908
25	0.3528640655
26	0.3502488651
27	0.3481138137
28	0.3456862801
29	0.3435870504
30	0.3416088886
31	0.3398186521
32	0.3386622231
33	0.336562945
34	0.33550591
35	0.3344214489
36	0.3326515493
37	0.3310552853
38	0.3300590381
39	0.3287804016
40	0.3278822801
41	0.3262292023
42	0.3246017296
43	0.3236345785
44	0.3223078551
45	0.3214838878
46	0.3206540947
47	0.3196370473
48	0.3181824124
49	0.316842029
50	0.3161429592
51	0.3151442783
52	0.3144079137
53	0.3132709053
54	0.3121916386
55	0.3110743278
56	0.3103850606
57	0.3088330752
58	0.3077142701
59	0.3067947856
60	0.3062208852
61	0.3057237529
62	0.3051277929
63	0.3042963222
64	0.3037257052
65	0.3032094482
66	0.3023102532
67	0.3017486017
68	0.3012391475
69	0.3008762841
70	0.3002658586
71	0.2994291222
72	0.2988482633
73	0.2979458904
74	0.2975795912
75	0.2967817737
76	0.2962797019
77	0.2956628858
78	0.2950851538
79	0.2945817409
80	0.2941906537
81	0.2936987587
82	0.2930803244
83	0.2928897868
84	0.2924687588
85	0.2920143612
86	0.2915586921
87	0.2905475539
88	0.2899332701
89	0.2898211689
90	0.2895257432
91	0.2888551772
92	0.2882250294
93	0.2878748392
94	0.2876767543
95	0.2870953559
96	0.2866632623
97	0.2864756679
98	0.2861115832
99	0.2855553883
100	0.2850881643
101	0.2845650294
102	0.2841036902
103	0.2831172985
104	0.282721531
105	0.2821326747
106	0.2815073782
107	0.2810268579
108	0.2805520705
109	0.280339383
110	0.2799719462
111	0.2796685263
112	0.2792175856
113	0.2788966948
114	0.2786688118
115	0.2784043869
116	0.2780731587
117	0.2775883605
118	0.2772323296
119	0.2770209654
120	0.2765883515
121	0.2761946624
122	0.2754740855
123	0.2752958464
124	0.2752183138
125	0.2746083666
126	0.2743054669
127	0.2741064779
128	0.2738453408
129	0.273463929
130	0.2730410123
131	0.2727379127
132	0.2725680253
133	0.2721015432
134	0.2718483949
135	0.271527823
136	0.270739586
137	0.2705522402
138	0.2702437959
139	0.2699167015
140	0.269591485
141	0.2693934182
142	0.2692037776
143	0.2689624833
144	0.2687140328
145	0.2684642603
146	0.2681170918
147	0.2676750621
148	0.2672557623
149	0.2668007461
150	0.2666882616
151	0.2664457382
152	0.2661430747
153	0.2658462409
154	0.2655752865
155	0.2650392374
156	0.2648058487
157	0.2644863395
158	0.2643279415
159	0.2638564919
160	0.2635009941
161	0.2631826093
162	0.262918375
163	0.2626229058
164	0.262430653
165	0.2623303739
166	0.2621055261
167	0.2619274778
168	0.2616204244
169	0.2615407271
170	0.2614750542
171	0.2611735923
172	0.2607928107
173	0.2606019245
174	0.2603905638
175	0.2601256998
176	0.2599726134
177	0.2596835833
178	0.259632383
179	0.2592089376
180	0.2590911722
181	0.2589469405
182	0.2587253382
183	0.2582905899
184	0.2581843309
185	0.2580842364
186	0.2577908531
187	0.2575038174
188	0.257224116
189	0.2570849928
190	0.256943016
191	0.2568550247
192	0.2567002042
193	0.2565474114
194	0.2560384723
195	0.2556947621
196	0.2555451781
197	0.2553580244
198	0.2552094347
199	0.254975937
200	0.2543986674
201	0.2540870275
202	0.2539638832
203	0.2536003053
204	0.2531399011
205	0.2530029711
206	0.2527017864
207	0.2525129242
208	0.2521610264
209	0.2516743262
210	0.2515153005
211	0.2513216233
212	0.2511785308
213	0.2510171794
214	0.250936593
215	0.2507428675
216	0.2504763827
217	0.2500951323
218	0.2497533371
219	0.2495732179
