iter	Logloss
0	0.6509980055
1	0.6126807263
2	0.5819005341
3	0.5520940736
4	0.5281338762
5	0.5043698252
6	0.4865580828
7	0.4700075154
8	0.4528706061
9	0.4386367424
10	0.4259932231
11	0.4145674995
12	0.4030461341
13	0.3954153944
14	0.3882536092
15	0.381409108
16	0.375759915
17	0.3711198943
18	0.3666343551
19	0.3626198879
20	0.3579266923
21	0.3529834047
22	0.3497058959
23	0.3463972741
24	0.3428993914
25	0.3401638461
26	0.3379698502
27	0.3360032742
28	0.3334739437
29	0.3316060125
30	0.3300512486
31	0.3269107138
32	0.3250386021
33	0.3238137357
34	0.3222532716
35	0.3201173852
36	0.3189277632
37	0.3177649813
38	0.3160470665
39	0.3144594917
40	0.312544
41	0.3105828526
42	0.3089087539
43	0.3073803748
44	0.3058490276
45	0.304493313
46	0.3029064219
47	0.3018502881
48	0.300894124
49	0.2994897192
50	0.2987542067
51	0.2972937541
52	0.2967221692
53	0.2954914388
54	0.2944939312
55	0.2934577871
56	0.2927530961
57	0.2917002752
58	0.2908284606
59	0.2902412246
60	0.2898534258
61	0.2894294425
62	0.2884731941
63	0.287786965
64	0.2864893756
65	0.2857118774
66	0.2847734492
67	0.2840366212
68	0.2831286689
69	0.2826270246
70	0.2819518754
71	0.2813165624
72	0.280916343
73	0.2800804952
74	0.2795123127
75	0.2783729445
76	0.2778463249
77	0.2775949568
78	0.276680165
79	0.276141066
80	0.2755448544
81	0.2750969196
82	0.2745626176
83	0.2743998344
84	0.2740532807
85	0.2731349512
86	0.2728569459
87	0.2722114237
88	0.2717592282
89	0.2712374477
90	0.2706970647
91	0.2704068657
92	0.2700744251
93	0.2696495045
94	0.2690211503
95	0.2679626396
96	0.2676576213
97	0.26730007
98	0.2669880376
99	0.2667707394
100	0.2664509228
101	0.2662877927
102	0.2659222783
103	0.2656337384
104	0.2652613935
105	0.2646627322
106	0.2642844277
107	0.2638460538
108	0.2635592762
109	0.2633520615
110	0.2628906033
111	0.262648608
112	0.2623805171
113	0.2621744956
114	0.261882703
115	0.2615216339
116	0.2610947702
117	0.2607259063
118	0.2603697112
119	0.2600118854
120	0.2592587342
121	0.2588625004
122	0.2584661198
123	0.2581353373
124	0.2579579891
125	0.257803784
126	0.2574626836
127	0.2571136016
128	0.2566411816
129	0.2559891456
130	0.2557764338
131	0.2553028063
132	0.2550609692
133	0.2542649444
134	0.2540411572
135	0.2537569033
136	0.2533793969
137	0.2530525316
138	0.2528782089
139	0.2525943055
140	0.2521367707
141	0.251951944
142	0.2518559688
143	0.2516091553
144	0.2514283947
145	0.2511611257
146	0.25057285
147	0.2503361291
148	0.2499398177
149	0.2498012186
150	0.2496300253
151	0.2494778096
152	0.2491519578
153	0.2488446508
154	0.2486296755
