split_strategy,test_size,random_state,stratify_by,train_rs_size,train_inner_size,val_inner_size,test_rs_size,overlap_sellers,roc_auc,pr_auc,recall_at_p90,best_iteration,spw,kb_claim,kb_claim_match,e0_canon_r90,ratio_seller_over_random,with_seller_id
random_stratified,0.2,42,resolution,157758,134094,23664,39440,4574,0.984,0.8859,0.6307,996,14.1075,0.0145,False,0.1721,0.27,True
random_stratified,0.2,42,resolution,157758,134094,23664,39440,4574,0.982,0.8703,0.5828,923,14.1075,0.0145,False,0.1721,0.3,False
