comparison,metric,delta,ci_low,ci_high,significant
E7 vs e0_canon,recall_p90,0.13321867602407644,0.03630018928702685,0.23893617503407738,True
E7 vs e0_canon,pr_auc,0.007313081836246958,-0.0026559787897096868,0.01699772783567578,False
E7 vs e5,recall_p90,0.030831141435391247,-0.013642734862518886,0.07459253912237547,False
E7 vs e5,pr_auc,-0.006362578293602842,-0.012165760393681762,8.550610654011407e-05,False
E7 vs e6_spw15,recall_p90,0.10750262915564258,0.030641105858361124,0.17412555541268412,True
E7 vs e6_spw15,pr_auc,0.011818778969298279,0.0041790832361307175,0.01870542580652125,True
